Name,Star,Number,AREA,URL
The Tibet Cafe,4.5,2700,Arambol,https://www.google.com/maps/search/The+Tibet+Cafe+Arambol
Lucky Star Bar & Restaurant,4.9,16,Arambol,https://www.google.com/maps/search/Lucky+Star+Bar+%26+Restaurant+Arambol
Sea Lounge Beach Shack Bar n Restaurant,3.5,22,Arambol,https://www.google.com/maps/search/Sea+Lounge+Beach+Shack+Bar+n+Restaurant+Arambol
Cocks Town,4.3,344,Arambol,https://www.google.com/maps/search/Cocks+Town+Arambol
Negi cafe and cottages,4.0,64,Arambol,https://www.google.com/maps/search/Negi+cafe+and+cottages+Arambol
Olive Garden,4.2,208,Arambol,https://www.google.com/maps/search/Olive+Garden+Arambol
CAFE 39,4.1,76,Arambol,https://www.google.com/maps/search/CAFE+39+Arambol
2Pac bar and restaraunt,4.5,21,Arambol,https://www.google.com/maps/search/2Pac+bar+and+restaraunt+Arambol
"Sandbanks Beach Resort, Arambol",4.2,374,Arambol,https://www.google.com/maps/search/Sandbanks+Beach+Resort%2C+Arambol+Arambol
Hotel Rukmini,4.6,46,Arambol,https://www.google.com/maps/search/Hotel+Rukmini+Arambol
Cafe Mish,4.5,44,Arambol,https://www.google.com/maps/search/Cafe+Mish+Arambol
Namahstay Hostel Arambol Goa,4.6,221,Arambol,https://www.google.com/maps/search/Namahstay+Hostel+Arambol+Goa+Arambol
The Arambol CaféBar,5.0,4,Arambol,https://www.google.com/maps/search/The+Arambol+Caf%C3%A9Bar+Arambol
north&east cafe arambol goa,5.0,4,Arambol,https://www.google.com/maps/search/north%26east+cafe+arambol+goa+Arambol
Organic Vibes Cafe,4.4,294,Arambol,https://www.google.com/maps/search/Organic+Vibes+Cafe+Arambol
NANU RESORT ARAMBOL,4.4,1200,Arambol,https://www.google.com/maps/search/NANU+RESORT+ARAMBOL+Arambol
Red Rock Arambol Beach,3.8,61,Arambol,https://www.google.com/maps/search/Red+Rock+Arambol+Beach+Arambol
Why not? Arambol,4.6,44,Arambol,https://www.google.com/maps/search/Why+not%3F+Arambol+Arambol
Cookie Walla,4.5,117,Arambol,https://www.google.com/maps/search/Cookie+Walla+Arambol
Rutik Restaurant,4.3,23,Arambol,https://www.google.com/maps/search/Rutik+Restaurant+Arambol
La Cucina,4.4,1600,Arambol,https://www.google.com/maps/search/La+Cucina+Arambol
Hotel Hill Rock Goa,4.3,1300,Arambol,https://www.google.com/maps/search/Hotel+Hill+Rock+Goa+Arambol
Andaz Arambol 24/7,4.0,421,Arambol,https://www.google.com/maps/search/Andaz+Arambol+24%2F7+Arambol
Amit Bar and Restaurant,3.3,34,Arambol,https://www.google.com/maps/search/Amit+Bar+and+Restaurant+Arambol
Palmco Beach Huts,4.6,410,Arambol,https://www.google.com/maps/search/Palmco+Beach+Huts+Arambol
