URL,Name,Star,Number,AREA
https://www.google.com/maps/place/Terracotta+Cafe/data=!4m7!3m6!1s0x3bbfc1032be0a595:0xc9ce5dc0e2e2eaca!8m2!3d15.520325!4d73.8301207!16s%2Fg%2F11n33cn6gb!19sChIJlaXgKwPBvzsRyuri4sBdzsk?authuser=0&hl=en&rclk=1,Terracotta Cafe,3.2,96,
https://www.google.com/maps/place/The+secret+chef+bismilla/data=!4m7!3m6!1s0x3bbfc14b87976f91:0xeec2c503f06e6d3a!8m2!3d15.520107!4d73.8335265!16s%2Fg%2F11v0qwtftf!19sChIJkW-Xh0vBvzsROm1u8APFwu4?authuser=0&hl=en&rclk=1,The secret chef bismilla,4.9,20,
https://www.google.com/maps/place/Ali+Home+Cafe/data=!4m7!3m6!1s0x3bbfc175d6673dd3:0x6a17a527bc19395d!8m2!3d15.5179795!4d73.8291377!16s%2Fg%2F11j0qgwchj!19sChIJ0z1n1nXBvzsRXTkZvCelF2o?authuser=0&hl=en&rclk=1,Ali Home Cafe,4.9,41,
https://www.google.com/maps/place/SHAWARMA+EXPRESS/data=!4m7!3m6!1s0x3bbfc16b135da1e5:0xe30cf367264326d9!8m2!3d15.5291526!4d73.8337251!16s%2Fg%2F11h08rnlqs!19sChIJ5aFdE2vBvzsR2SZDJmfzDOM?authuser=0&hl=en&rclk=1,SHAWARMA EXPRESS,4.6,48,
https://www.google.com/maps/place/Vatsala+family+Bar+and+Restaurant/data=!4m7!3m6!1s0x3bbfc172d7e6f2b5:0xdfc54dc18f227d47!8m2!3d15.530789!4d73.8268077!16s%2Fg%2F11p0vh2m8r!19sChIJtfLm13LBvzsRR30ij8FNxd8?authuser=0&hl=en&rclk=1,Vatsala family Bar and Restaurant,4.4,77,
https://www.google.com/maps/place/Preparartion+Restaurant/data=!4m7!3m6!1s0x3bbfc1028e79a0ed:0x8b3604e9770a1d0e!8m2!3d15.5275288!4d73.8279109!16s%2Fg%2F11trrphry9!19sChIJ7aB5jgLBvzsRDh0Kd-kENos?authuser=0&hl=en&rclk=1,Preparartion Restaurant,4.7,27,
https://www.google.com/maps/place/The+GrillFathers/data=!4m7!3m6!1s0x3bbfc11c0e5c05bf:0x2443276e69863a19!8m2!3d15.5224966!4d73.828545!16s%2Fg%2F11td39t3kp!19sChIJvwVcDhzBvzsRGTqGaW4nQyQ?authuser=0&hl=en&rclk=1,The GrillFathers,4.5,21,
https://www.google.com/maps/place/Step+N+Taste/data=!4m7!3m6!1s0x3bbfc10c6a6e3ba5:0x506f2aaae8b68376!8m2!3d15.5289851!4d73.833872!16s%2Fg%2F11qqmkx5d_!19sChIJpTtuagzBvzsRdoO26Koqb1A?authuser=0&hl=en&rclk=1,Step N Taste,4.3,22,
https://www.google.com/maps/place/The+Fisherman%27s+Wharf+Panjim/data=!4m7!3m6!1s0x3bbfc08d417446e7:0xd26b6f343d36b884!8m2!3d15.4938099!4d73.8195043!16s%2Fg%2F11bccmmn6z!19sChIJ50Z0QY3AvzsRhLg2PTRva9I?authuser=0&hl=en&rclk=1,The Fisherman's Wharf Panjim,4.6,18065,
https://www.google.com/maps/place/Sai+Krupa+Family+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bbfc01628fc1601:0xea5df102c8bd5f76!8m2!3d15.5352173!4d73.8189696!16s%2Fg%2F11fylstqxg!19sChIJARb8KBbAvzsRdl-9yALxXeo?authuser=0&hl=en&rclk=1,Sai Krupa Family Restaurant & Bar,4.3,1444,
https://www.google.com/maps/place/Goyaan/data=!4m7!3m6!1s0x3bbfc1f97070f247:0xc1e4dc056e21c062!8m2!3d15.517902!4d73.8334249!16s%2Fg%2F11ht2fl_8s!19sChIJR_JwcPnBvzsRYsAhbgXc5ME?authuser=0&hl=en&rclk=1,Goyaan,4.7,19,
https://www.google.com/maps/place/SAMRUD+RESTAURANT/data=!4m7!3m6!1s0x3bbfc12e3e94bd61:0x45ace8ecd005c8e2!8m2!3d15.5161127!4d73.828983!16s%2Fg%2F11vkb4jghs!19sChIJYb2UPi7BvzsR4sgF0OzorEU?authuser=0&hl=en&rclk=1,SAMRUD RESTAURANT,4.0,87,
https://www.google.com/maps/place/Cafe+Shantadurga+%7C+Best+Cafe+in+Porvorim/data=!4m7!3m6!1s0x3bbfc1700ca3f1d5:0xe09856d33472ac67!8m2!3d15.5116319!4d73.8362984!16s%2Fg%2F11p5f_7dwp!19sChIJ1fGjDHDBvzsRZ6xyNNNWmOA?authuser=0&hl=en&rclk=1,Cafe Shantadurga | Best Cafe in Porvorim,4.6,15,
