Name,Star,Number,AREA,URL,Score
Sher-E-Punjab Goa,4.2,5770,GOA,https://www.google.com/maps/place/Sher-E-Punjab+Goa/data=!4m7!3m6!1s0x3bbfc08ec443d519:0xf2c555a417d5abbe!8m2!3d15.497947!4d73.826108!16s%2Fg%2F11bwf82_f3!19sChIJGdVDxI7AvzsRvqvVF6RVxfI?authuser=0&hl=en&rclk=1,24234
McDonald's,4.3,5613,GOA,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x3bbfc0175e2e06a5:0x9067639c1a524c65!8m2!3d15.525599!4d73.827374!16s%2Fg%2F11c45903bv!19sChIJpQYuXhfAvzsRZUxSGpxjZ5A?authuser=0&hl=en&rclk=1,24135.9
Antares Restaurant & Beach Club,4.2,5625,GOA,https://www.google.com/maps/place/Antares+Restaurant+%26+Beach+Club/data=!4m7!3m6!1s0x3bbfe970cc893c89:0x6cfd69111399e5e8!8m2!3d15.5949959!4d73.7347915!16s%2Fg%2F11bwp1n8s6!19sChIJiTyJzHDpvzsR6OWZExFp_Ww?authuser=0&hl=en&rclk=1,23625
Spice Goa,4.4,5300,GOA,https://www.google.com/maps/place/Spice+Goa/data=!4m7!3m6!1s0x3bbfeb3c0b99d105:0xb8087a520922a405!8m2!3d15.6111845!4d73.8239525!16s%2Fg%2F1tdflqfl!19sChIJBdGZCzzrvzsRBaQiCVJ6CLg?authuser=0&hl=en&rclk=1,23320
Cafe Bhonsle Pure Veg - Porvorim,4.1,5669,GOA,https://www.google.com/maps/place/Cafe+Bhonsle+Pure+Veg+-+Porvorim/data=!4m7!3m6!1s0x3bbfc143641f9745:0xd491dcdc9db2969f!8m2!3d15.5344649!4d73.8211372!16s%2Fg%2F11fpfhh7z8!19sChIJRZcfZEPBvzsRn5ayndzckdQ?authuser=0&hl=en&rclk=1,23242.9
Palms n Sands Beach Restobar Candolim,4.4,4977,GOA,https://www.google.com/maps/place/Palms+n+Sands+Beach+Restobar+Candolim/data=!4m7!3m6!1s0x3bbfc19ec1b9ddc3:0xd8cd179cc5571b20!8m2!3d15.504891!4d73.7671325!16s%2Fg%2F1pxy9sz_s!19sChIJw925wZ7BvzsRIBtXxZwXzdg?authuser=0&hl=en&rclk=1,21898.8
Hotel Anantashram,4.1,5265,GOA,https://www.google.com/maps/place/Hotel+Anantashram/data=!4m7!3m6!1s0x3bbfc7bc7e50f927:0x319f14d19a10feef!8m2!3d15.3981767!4d73.8127935!16s%2Fg%2F124yjm7mt!19sChIJJ_lQfrzHvzsR7_4QmtEUnzE?authuser=0&hl=en&rclk=1,21586.5
Delhi Darbar Candolim Goa - Original Branch,4.8,4457,GOA,https://www.google.com/maps/place/Delhi+Darbar+Candolim+Goa+-+Original+Branch/data=!4m7!3m6!1s0x3bbfc1e0680f3e45:0x12a620df93d2fbb3!8m2!3d15.5292764!4d73.7650183!16s%2Fg%2F11pclxhr_6!19sChIJRT4PaODBvzsRs_vSk98gphI?authuser=0&hl=en&rclk=1,21393.6
Peep Kitchen,4.4,4672,GOA,https://www.google.com/maps/place/Peep+Kitchen/data=!4m7!3m6!1s0x3bbfc0ce203eb53b:0x97ac229950cb0d!8m2!3d15.4701468!4d73.8260554!16s%2Fg%2F1hm4z2npp!19sChIJO7U-IM7AvzsRDctQmSKslwA?authuser=0&hl=en&rclk=1,20556.8
Kailash Parbat- Pure Vegetarian Restaurant,4.6,4453,GOA,https://www.google.com/maps/place/Kailash+Parbat-+Pure+Vegetarian+Restaurant/data=!4m7!3m6!1s0x3bbfc08e645c34e5:0x453d79ad03658d4b!8m2!3d15.4978396!4d73.8259661!16s%2Fg%2F1tdsh6rm!19sChIJ5TRcZI7AvzsRS41lA615PUU?authuser=0&hl=en&rclk=1,20483.8
Ritz Classic Margao,4.4,4645,GOA,https://www.google.com/maps/place/Ritz+Classic+Margao/data=!4m7!3m6!1s0x3bbfb3bdd4759361:0x5042c83d8d62b1f2!8m2!3d15.264811!4d73.9504342!16s%2Fg%2F11ny03r24j!19sChIJYZN11L2zvzsR8rFijT3IQlA?authuser=0&hl=en&rclk=1,20438
Barbeque Nation,4.3,4725,GOA,https://www.google.com/maps/place/Barbeque+Nation/data=!4m7!3m6!1s0x3bbfc0eb519c34dd:0x850b6dbd00cedcca!8m2!3d15.486284!4d73.8176956!16s%2Fg%2F11b7q8qrkz!19sChIJ3TScUevAvzsRytzOAL1tC4U?authuser=0&hl=en&rclk=1,20317.5
Starlight,4.2,4633,GOA,https://www.google.com/maps/place/Starlight/data=!4m7!3m6!1s0x3bbe4cc6c78ba1dd:0x8b8ff44b279e2ba5!8m2!3d15.1806945!4d73.9638661!16s%2Fg%2F1262c8tvm!19sChIJ3aGLx8ZMvjsRpSueJ0v0j4s?authuser=0&hl=en&rclk=1,19458.6
