Name,Star,Number,AREA,URL,Score
Yaki Zushi,4.4,2100,Saligao,https://www.google.com/maps/search/Yaki+Zushi+Saligao,9240
Delhi Darbar Hotel,4,2300,Panaji,https://www.google.com/maps/search/Delhi+Darbar+Hotel+Panaji,9200
The Temptation Vasco - 24x7 Complete Food Shop,4,2300,Vasco da Gama,https://www.google.com/maps/search/The+Temptation+Vasco+-+24x7+Complete+Food+Shop+Vasco+da+Gama,9200
Casa Bhonsle Restaurant and Bar,4.2,2100,Caranzalem,https://www.google.com/maps/search/Casa+Bhonsle+Restaurant+and+Bar+Caranzalem,8820
GENE’s - Restaurant By The Riverside,4.2,2100,Chorao,https://www.google.com/maps/search/GENE%E2%80%99s+-+Restaurant+By+The+Riverside+Chorao,8820
Piccola Roma Pizza,4.2,2100,Chorao,https://www.google.com/maps/search/Piccola+Roma+Pizza+Chorao,8820
Café Mojo,4.1,2100,Panaji,https://www.google.com/maps/search/Caf%C3%A9+Mojo+Panaji,8610
The HQ,4.1,2100,Vasco da Gama,https://www.google.com/maps/search/The+HQ+Vasco+da+Gama,8610
Workshop Restaurant,4.5,1900,Caranzalem,https://www.google.com/maps/search/Workshop+Restaurant+Caranzalem,8550
Ratna Sagar Family Restaurant & Bar (Calangute),4.2,2000,Bicholim,https://www.google.com/maps/search/Ratna+Sagar+Family+Restaurant+%26+Bar+%28Calangute%29+Bicholim,8400
Vaddo 15,4.4,1900,Caranzalem,https://www.google.com/maps/search/Vaddo+15+Caranzalem,8360
Aunty Maria,4.1,2000,Panaji,https://www.google.com/maps/search/Aunty+Maria+Panaji,8200
Route 66,4.3,1900,Panaji,https://www.google.com/maps/search/Route+66+Panaji,8170
The Flora Grand,4,2000,"Airport, Dabolim",https://www.google.com/maps/search/The+Flora+Grand+Airport%2C+Dabolim,8000
Blue Sea view,4,2000,Arambol,https://www.google.com/maps/search/Blue+Sea+view+Arambol,8000
Navratna Udupi Pure Veg Family Restaurant,3.8,2100,Naval Base Verem,https://www.google.com/maps/search/Navratna+Udupi+Pure+Veg+Family+Restaurant+Naval+Base+Verem,7980
MASAK by Tato's,4.2,1900,Panaji,https://www.google.com/maps/search/MASAK+by+Tato%27s+Panaji,7980
John's Seagull,4.1,1900,"Airport, Dabolim",https://www.google.com/maps/search/John%27s+Seagull+Airport%2C+Dabolim,7790
Blue Moon Family Restaurant & Bar,4.3,1800,Chorao,https://www.google.com/maps/search/Blue+Moon+Family+Restaurant+%26+Bar+Chorao,7740
"Highway K'tchen, Dabolim - Dine In & Take-Away",3.9,1900,"Airport, Dabolim",https://www.google.com/maps/search/Highway+K%27tchen%2C+Dabolim+-+Dine+In+%26+Take-Away+Airport%2C+Dabolim,7410
Aangan Restaurant,4.6,1600,Caranzalem,https://www.google.com/maps/search/Aangan+Restaurant+Caranzalem,7360
Cafe Ritz Restaurant & Bar,4.3,1700,Panaji,https://www.google.com/maps/search/Cafe+Ritz+Restaurant+%26+Bar+Panaji,7310
Evergreen Restaurant 1975,4.8,1500,Panaji,https://www.google.com/maps/search/Evergreen+Restaurant+1975+Panaji,7200
La Cucina,4.4,1600,Arambol,https://www.google.com/maps/search/La+Cucina+Arambol,7040
Udupi Shree Sagar Pure Veg Restaurant,3.7,1900,Saligao,https://www.google.com/maps/search/Udupi+Shree+Sagar+Pure+Veg+Restaurant+Saligao,7030
Domino's Pizza - Mapusa,3.9,1800,Mapusa,https://www.google.com/maps/search/Domino%27s+Pizza+-+Mapusa+Mapusa,7020
Cream Choc Gelato,4.6,1500,Caranzalem,https://www.google.com/maps/search/Cream+Choc+Gelato+Caranzalem,6900
Domino's Pizza,3.8,1800,Vasco da Gama,https://www.google.com/maps/search/Domino%27s+Pizza+Vasco+da+Gama,6840
Jardin D'ulysse,4.5,1500,Chorao,https://www.google.com/maps/search/Jardin+D%27ulysse+Chorao,6750
Shalimar Restaurant,3.7,1800,Panaji,https://www.google.com/maps/search/Shalimar+Restaurant+Panaji,6660
Cafe Food Planet,4.3,1500,Arambol,https://www.google.com/maps/search/Cafe+Food+Planet+Arambol,6450
Saiba bar and restaurant(evening beautiful),4.3,1500,Mapusa,https://www.google.com/maps/search/Saiba+bar+and+restaurant%28evening+beautiful%29+Mapusa,6450
Lavish Bar & Restaurant,4,1600,Arambol,https://www.google.com/maps/search/Lavish+Bar+%26+Restaurant+Arambol,6400
The Goan Majestic,4,1600,Tisk (Ponda),https://www.google.com/maps/search/The+Goan+Majestic+Tisk+%28Ponda%29,6400
Vasco Square Restaurant,4,1600,Vasco da Gama,https://www.google.com/maps/search/Vasco+Square+Restaurant+Vasco+da+Gama,6400
Grand Vatika Resort,4.5,1400,Arambol,https://www.google.com/maps/search/Grand+Vatika+Resort+Arambol,6300
The Crown Goa,4.2,1500,Chorao,https://www.google.com/maps/search/The+Crown+Goa+Chorao,6300
