Name,Star,Number,AREA,URL,Score,ID
Piccola Roma Pizza,4.2,2100,Chorao,https://www.google.com/maps/search/Piccola+Roma+Pizza+Chorao,8820,20250205185402_81
Café Mojo,4.1,2100,Panaji,https://www.google.com/maps/search/Caf%C3%A9+Mojo+Panaji,8610,20250205185446_82
The HQ,4.1,2100,Vasco da Gama,https://www.google.com/maps/search/The+HQ+Vasco+da+Gama,8610,20250205185504_83
Workshop Restaurant,4.5,1900,Caranzalem,https://www.google.com/maps/search/Workshop+Restaurant+Caranzalem,8550,20250205185736_84
Ratna Sagar Family Restaurant & Bar (Calangute),4.2,2000,Bicholim,https://www.google.com/maps/search/Ratna+Sagar+Family+Restaurant+%26+Bar+%28Calangute%29+Bicholim,8400,20250205185755_85
Vaddo 15,4.4,1900,Caranzalem,https://www.google.com/maps/search/Vaddo+15+Caranzalem,8360,20250205185816_86
Aunty Maria,4.1,2000,Panaji,https://www.google.com/maps/search/Aunty+Maria+Panaji,8200,20250205185854_87
Route 66,4.3,1900,Panaji,https://www.google.com/maps/search/Route+66+Panaji,8170,20250205185915_88
The Flora Grand,4,2000,"Airport, Dabolim",https://www.google.com/maps/search/The+Flora+Grand+Airport%2C+Dabolim,8000,20250205185935_89
Blue Sea view,4,2000,Arambol,https://www.google.com/maps/search/Blue+Sea+view+Arambol,8000,20250205190006_90
Navratna Udupi Pure Veg Family Restaurant,3.8,2100,Naval Base Verem,https://www.google.com/maps/search/Navratna+Udupi+Pure+Veg+Family+Restaurant+Naval+Base+Verem,7980,20250205190027_91
MASAK by Tato's,4.2,1900,Panaji,https://www.google.com/maps/search/MASAK+by+Tato%27s+Panaji,7980,20250205190111_92
John's Seagull,4.1,1900,"Airport, Dabolim",https://www.google.com/maps/search/John%27s+Seagull+Airport%2C+Dabolim,7790,20250205190129_93
Blue Moon Family Restaurant & Bar,4.3,1800,Chorao,https://www.google.com/maps/search/Blue+Moon+Family+Restaurant+%26+Bar+Chorao,7740,20250205190148_94
"Highway K'tchen, Dabolim - Dine In & Take-Away",3.9,1900,"Airport, Dabolim",https://www.google.com/maps/search/Highway+K%27tchen%2C+Dabolim+-+Dine+In+%26+Take-Away+Airport%2C+Dabolim,7410,20250205190210_95
