URL,Name,Star,Number,AREA,Score,ID
https://www.google.com/maps/place/JOHNCY+RESTAURANT+%26+BAR/data=!4m7!3m6!1s0x3bbfb46c14a78a19:0x9953b69a8b570f75!8m2!3d15.257408!4d73.9194532!16s%2Fg%2F1td5dks6!19sChIJGYqnFGy0vzsRdQ9Xi5q2U5k?authuser=0&hl=en&rclk=1,JOHNCY RESTAURANT & BAR,4.0,8490,Cansaulim,33960.0,c0d67c71d306b43b7f50e6aedbb21379
"https://www.google.com/maps/place/Club+Mahindra+Resort+-+Emerald+Palms,+Goa/data=!4m10!3m9!1s0x3bbfb480cca3b271:0x82e3c6f39bc68ca8!5m2!4m1!1i2!8m2!3d15.2381545!4d73.9303187!16s%2Fg%2F12vr5rg8k!19sChIJcbKjzIC0vzsRqIzGm_PG44I?authuser=0&hl=en&rclk=1","Club Mahindra Resort - Emerald Palms, Goa",4.2,7630,Varca,32046.0,346eada675b7560e6a14c9238f51d4f2
"https://www.google.com/maps/place/The+Zuri+White+Sands,+Goa+Resort+%26+Casino/data=!4m10!3m9!1s0x3bbfb49c84bd23e5:0xa6437361c8d39990!5m2!4m1!1i2!8m2!3d15.2264442!4d73.932068!16s%2Fg%2F1tsr1n2c!19sChIJ5SO9hJy0vzsRkJnTyGFzQ6Y?authuser=0&hl=en&rclk=1","The Zuri White Sands, Goa Resort & Casino",4.3,7380,Orlim,31734.0,20250205230406_27
https://www.google.com/maps/place/Bay+15/data=!4m10!3m9!1s0x3bbfc74de0e7fda1:0xbbcd768bb0e53058!5m2!4m1!1i2!8m2!3d15.4539555!4d73.828269!16s%2Fg%2F1z44qtrk9!19sChIJof3n4E3HvzsRWDDlsIt2zbs?authuser=0&hl=en&rclk=1,Bay 15,4.3,7222,Bambolim Camp,31054.6,20250205230437_28
https://www.google.com/maps/place/Ritz+Classic-Patto/data=!4m7!3m6!1s0x3bbfc08ed1c835f1:0x1049c650dbf64af3!8m2!3d15.4933879!4d73.8363916!16s%2Fg%2F124sybm39!19sChIJ8TXI0Y7AvzsR80r221DGSRA?authuser=0&hl=en&rclk=1,Ritz Classic-Patto,4.0,7612,Corlim Ind. Estate,30448.0,1f0ffe32ed853c498bd0e7ef5a70207e
https://www.google.com/maps/place/Mandrem+Beach/data=!4m7!3m6!1s0x3bbfeee85d4085d1:0xee6c10d759574ec0!8m2!3d15.6696522!4d73.7095472!16s%2Fg%2F11ggt5102s!19sChIJ0YVAXejuvzsRwE5XWdcQbO4?authuser=0&hl=en&rclk=1,Mandrem Beach,4.6,6432,Mandrem,29587.2,20250205230526_30
https://www.google.com/maps/place/Zeebop/data=!4m7!3m6!1s0x3bbfb6fb16e2fdf1:0x34b6fe204ed2ec8c!8m2!3d15.320764!4d73.8992585!16s%2Fg%2F1tdg1nsy!19sChIJ8f3iFvu2vzsRjOzSTiD-tjQ?authuser=0&hl=en&rclk=1,Zeebop,4.5,6304,Bogmalo,28368.0,20250205230543_31
https://www.google.com/maps/place/Krishna/data=!4m7!3m6!1s0x3bbfb3d5cbc981a5:0x7164cd767f3f8e3c!8m2!3d15.2863675!4d73.9782606!16s%2Fg%2F11b7lfdhh9!19sChIJpYHJy9WzvzsRPI4_f3bNZHE?authuser=0&hl=en&rclk=1,Krishna,4.0,7076,Aquem,28304.0,e6f12b5fe0e4bc956c4d6d965d1a3e0e
https://www.google.com/maps/place/Adlem+Goi/data=!4m7!3m6!1s0x3bbfbfb8965cc62d:0x8bce38b935cab7f8!8m2!3d15.5026069!4d73.9150403!16s%2Fg%2F11h4_sffcd!19sChIJLcZclri_vzsR-LfKNbk4zos?authuser=0&hl=en&rclk=1,Adlem Goi,4.6,5876,Corlim Ind. Estate,27029.6,59002978c3a785384eb17d854b5021c2
https://www.google.com/maps/place/The+Southern+Deck+-+Beach+Bar+%26+Bistro/data=!4m7!3m6!1s0x3bbfb46c7a7d008f:0x49006bacb659022e!8m2!3d15.2582128!4d73.9190247!16s%2Fg%2F11ddwhsxs4!19sChIJjwB9emy0vzsRLgJZtqxrAEk?authuser=0&hl=en&rclk=1,The Southern Deck - Beach Bar & Bistro,4.4,6100,Collem,26840.0,81c8215da44a2f9e1d066c454a7f30e1
